Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
16496,164761,0.022954077,0.39272222,9.713684,0.010985546,-0.0027824708,0.0037373367,0.0,0.0,0.0,2.3631318,-0.17514075,-55.32586,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16497,164771,0.030265719,0.424796,9.8069,0.010392094,-0.0021217521,0.0028854727,0.0,0.0,0.0,2.3557482,-0.18254204,-55.32405,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16498,164781,0.030265719,0.424796,9.8069,0.010392094,-0.0021217521,0.0028854727,0.0,0.0,0.0,2.3557482,-0.18254204,-55.32405,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16499,164791,0.0298751,0.2809688,9.772694,0.0025800148,-0.012149507,0.004252049,0.0,0.0,0.0,2.3550818,-0.18037236,-55.326122,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16500,164801,0.0298751,0.2809688,9.772694,0.0025800148,-0.012149507,0.004252049,0.0,0.0,0.0,2.3550818,-0.18037236,-55.326122,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16501,164811,0.032815963,0.44990772,9.7141905,0.009088368,0.0028023531,0.0016878126,0.0,0.0,0.0,2.3668191,-0.17634979,-55.32708,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16502,164821,0.032815963,0.44990772,9.7141905,0.009088368,0.0028023531,0.0016878126,0.0,0.0,0.0,2.3668191,-0.17634979,-55.32708,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16503,164831,0.013574153,0.37167218,9.797628,0.003651913,-0.012011563,0.0051206974,0.0,0.0,0.0,2.355586,-0.18629375,-55.32668,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16504,164841,0.013574153,0.37167218,9.797628,0.003651913,-0.012011563,0.0051206974,0.0,0.0,0.0,2.355586,-0.18629375,-55.32668,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
16505,164851,0.060456812,0.3646113,9.712995,0.008802784,-0.00037500865,0.002230327,0.0,0.0,0.0,2.362079,-0.17405719,-55.327637,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
